Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Expected years schooling"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.478,10.26
"Albania","Europe","ALB","National","ALBt","Total",0.796,14.45
"Algeria","Africa","DZA","National","DZAt","Total",0.745,14.63
"Andorra","Europe","AND","National","ANDt","Total",0.858,13.30
"Angola","Africa","AGO","National","AGOt","Total",0.586,12.17
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.788,14.19
"Argentina urban","America","ARG","National","ARGt","Total",0.842,17.88
"Armenia","Europe","ARM","National","ARMt","Total",0.759,13.12
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.951,18.00
"Austria","Europe","AUT","National","AUTt","Total",0.916,16.01
"Azerbaijan","Europe","AZE","National","AZEt","Total",0.745,13.50
"Bahamas","America","BHS","National","BHSt","Total",0.812,12.90
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.875,16.30
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.661,12.44
"Barbados","America","BRB","National","BRBt","Total",0.790,15.71
"Belarus","Europe","BLR","National","BLRt","Total",0.808,15.17
"Belgium","Europe","BEL","National","BELt","Total",0.937,18.00
"Belize","America","BLZ","National","BLZt","Total",0.683,12.99
"Benin","Africa","BEN","National","BENt","Total",0.525,10.77
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.666,13.23
"Bolivia","America","BOL","National","BOLt","Total",0.692,14.95
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.780,13.80
"Botswana","Africa","BWA","National","BWAt","Total",0.693,12.27
"Brazil","America","BRA","National","BRAt","Total",0.754,15.60
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.829,13.95
"Bulgaria","Europe","BGR","National","BGRt","Total",0.795,13.90
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.449,9.142
"Burundi","Africa","BDI","National","BDIt","Total",0.426,10.72
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.593,11.47
"Cameroon","Africa","CMR","National","CMRt","Total",0.576,13.11
"Canada","America","CAN","National","CANt","Total",0.936,16.40
"Cape Verde","Africa","CPV","National","CPVt","Total",0.662,12.56
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",0.404,8.040
"Chad","Africa","TCD","National","TCDt","Total",0.394,8.036
"Chili","America","CHL","National","CHLt","Total",0.855,16.73
"China","Asia/Pacific","CHN","National","CHNt","Total",0.768,14.24
"Colombia","America","COL","National","COLt","Total",0.752,14.44
"Comoros","Africa","COM","National","COMt","Total",0.558,11.92
"Congo Brazzaville","Africa","COG","National","COGt","Total",0.571,12.33
"Congo Democratic Republic","Africa","COD","National","CODt","Total",0.479,9.818
"Costa Rica","America","CRI","National","CRIt","Total",0.809,16.55
"Cote d'Ivoire","Africa","CIV","National","CIVt","Total",0.550,10.68
"Croatia","Europe","HRV","National","HRVt","Total",0.858,15.11
"Cuba","America","CUB","National","CUBt","Total",0.764,14.44
"Cyprus","Europe","CYP","National","CYPt","Total",0.896,15.65
"Czech Republic","Europe","CZE","National","CZEt","Total",0.889,16.22
"Denmark","Europe","DNK","National","DNKt","Total",0.948,18.00
"Djibouti","Africa","DJI","National","DJIt","Total",0.509,7.433
"Dominica","America","DMA","National","DMAt","Total",0.720,13.32
"Dominican Republic","America","DOM","National","DOMt","Total",0.767,14.47
"Ecuador","America","ECU","National","ECUt","Total",0.740,14.62
"Egypt","Africa","EGY","National","EGYt","Total",0.731,13.79
"El Salvador","America","SLV","National","SLVt","Total",0.675,12.67
"Equatorial Guinea","Africa","GNQ","National","GNQt","Total",0.596,9.735
"Eritrea","Africa","ERI","National","ERIt","Total",0.492,8.065
"Estonia","Europe","EST","National","ESTt","Total",0.890,15.93
"Eswatini","Africa","SWZ","National","SWZt","Total",0.597,13.74
"Ethiopia","Africa","ETH","National","ETHt","Total",0.498,9.651
"Fiji","Asia/Pacific","FJI","National","FJIt","Total",0.730,14.74
"Finland","Europe","FIN","National","FINt","Total",0.940,18.00
"France","Europe","FRA","National","FRAt","Total",0.903,15.81
"Gabon","Africa","GAB","National","GABt","Total",0.706,12.98
"Gambia","Africa","GMB","National","GMBt","Total",0.500,9.419
"Georgia","Europe","GEO","National","GEOt","Total",0.802,15.57
"Germany","Europe","DEU","National","DEUt","Total",0.942,17.01
"Ghana","Africa","GHA","National","GHAt","Total",0.632,12.05
"Greece","Europe","GRC","National","GRCt","Total",0.887,18.00
"Grenada","America","GRD","National","GRDt","Total",0.795,18.00
"Guatemala","America","GTM","National","GTMt","Total",0.627,10.56
"Guinea","Africa","GIN","National","GINt","Total",0.465,9.805
"Guinea Bissau","Africa","GNB","National","GNBt","Total",0.483,10.61
"Guyana","America","GUY","National","GUYt","Total",0.714,12.50
"Haiti","America","HTI","National","HTIt","Total",0.535,9.700
"Honduras","America","HND","National","HNDt","Total",0.621,10.13
"Hungary","Europe","HUN","National","HUNt","Total",0.846,15.03
"Iceland","Europe","ISL","National","ISLt","Total",0.959,18.00
"India","Asia/Pacific","IND","National","INDt","Total",0.633,11.88
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",0.705,13.75
"Iran","Asia/Pacific","IRN","National","IRNt","Total",0.774,14.62
"Iraq","Asia/Pacific","IRQ","National","IRQt","Total",0.686,12.09
"Ireland","Europe","IRL","National","IRLt","Total",0.945,18.00
"Israel","Asia/Pacific","ISR","National","ISRt","Total",0.919,16.05
"Italy","Europe","ITA","National","ITAt","Total",0.895,16.23
"Jamaica","America","JAM","National","JAMt","Total",0.709,13.41
"Japan","Asia/Pacific","JPN","National","JPNt","Total",0.925,15.22
"Jordan","Asia/Pacific","JOR","National","JORt","Total",0.720,10.65
"Kazakhstan","Asia/Pacific","KAZ","National","KAZt","Total",0.811,15.77
"Kenya","Africa","KEN","National","KENt","Total",0.575,10.70
"Kiribati","Asia/Pacific","KIR","National","KIRt","Total",0.624,11.80
"Kosovo","Europe","XKO","National","KSVt","Total",0.762,13.87
"Kuwait","Asia/Pacific","KWT","National","KWTt","Total",0.831,15.32
"Kyrgyzstan","Asia/Pacific","KGZ","National","KGZt","Total",0.692,13.20
"Lao","Asia/Pacific","LAO","National","LAOt","Total",0.607,10.14
"Latvia","Europe","LVA","National","LVAt","Total",0.863,16.20
"Lebanon","Asia/Pacific","LBN","National","LBNt","Total",0.706,11.29
"Lesotho","Africa","LSO","National","LSOt","Total",0.514,12.04
"Liberia","Africa","LBR","National","LBRt","Total",0.481,10.42
"Libya","Africa","LBY","National","LBYt","Total",0.718,12.85
"Liechtenstein","Europe","LIE","National","LIEt","Total",0.935,15.18
"Lithuania","Europe","LTU","National","LTUt","Total",0.875,16.29
"Luxembourg","Europe","LUX","National","LUXt","Total",0.930,14.40
"Madagascar","Africa","MDG","National","MDGt","Total",0.501,10.14
"Malawi","Africa","MWI","National","MWIt","Total",0.512,12.68
"Malaysia","Asia/Pacific","MYS","National","MYSt","Total",0.803,13.34
"Maldives","Asia/Pacific","MDV","National","MDVt","Total",0.747,12.64
"Mali","Africa","MLI","National","MLIt","Total",0.428,7.423
"Mauritania","Africa","MRT","National","MRTt","Total",0.556,9.376
"Mauritius","Africa","MUS","National","MUSt","Total",0.802,15.17
"Mexico","America","MEX","National","MEXt","Total",0.758,14.86
"Micronesia (Federated States of)","Asia/Pacific","FSM","National","FSMt","Total",0.628,11.55
"Moldova","Europe","MDA","National","MDAt","Total",0.767,14.43
"Mongolia","Asia/Pacific","MNG","National","MNGt","Total",0.739,14.98
