Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Life expectancy"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.478,61.98
"Albania","Europe","ALB","National","ALBt","Total",0.796,76.46
"Algeria","Africa","DZA","National","DZAt","Total",0.745,76.38
"Andorra","Europe","AND","National","ANDt","Total",0.858,80.37
"Angola","Africa","AGO","National","AGOt","Total",0.586,61.64
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.788,78.50
"Argentina urban","America","ARG","National","ARGt","Total",0.842,75.39
"Armenia","Europe","ARM","National","ARMt","Total",0.759,72.04
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.951,84.53
"Austria","Europe","AUT","National","AUTt","Total",0.916,81.58
"Azerbaijan","Europe","AZE","National","AZEt","Total",0.745,69.37
"Bahamas","America","BHS","National","BHSt","Total",0.812,71.60
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.875,78.76
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.661,72.38
"Barbados","America","BRB","National","BRBt","Total",0.790,77.57
"Belarus","Europe","BLR","National","BLRt","Total",0.808,72.44
"Belgium","Europe","BEL","National","BELt","Total",0.937,81.88
"Belize","America","BLZ","National","BLZt","Total",0.683,70.47
"Benin","Africa","BEN","National","BENt","Total",0.525,59.82
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.666,71.82
"Bolivia","America","BOL","National","BOLt","Total",0.692,63.63
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.780,75.30
"Botswana","Africa","BWA","National","BWAt","Total",0.693,61.14
"Brazil","America","BRA","National","BRAt","Total",0.754,72.75
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.829,74.64
"Bulgaria","Europe","BGR","National","BGRt","Total",0.795,71.80
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.449,59.27
"Burundi","Africa","BDI","National","BDIt","Total",0.426,61.66
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.593,69.58
"Cameroon","Africa","CMR","National","CMRt","Total",0.576,60.33
"Canada","America","CAN","National","CANt","Total",0.936,82.66
"Cape Verde","Africa","CPV","National","CPVt","Total",0.662,74.05
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",0.404,53.90
"Chad","Africa","TCD","National","TCDt","Total",0.394,52.53
"Chili","America","CHL","National","CHLt","Total",0.855,78.94
"China","Asia/Pacific","CHN","National","CHNt","Total",0.768,78.21
"Colombia","America","COL","National","COLt","Total",0.752,72.83
