Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Mean years schooling"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.478,2.985
"Albania","Europe","ALB","National","ALBt","Total",0.796,11.29
"Algeria","Africa","DZA","National","DZAt","Total",0.745,8.069
"Andorra","Europe","AND","National","ANDt","Total",0.858,10.56
"Angola","Africa","AGO","National","AGOt","Total",0.586,5.417
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.788,9.294
"Argentina urban","America","ARG","National","ARGt","Total",0.842,11.15
"Armenia","Europe","ARM","National","ARMt","Total",0.759,11.33
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.951,12.73
"Austria","Europe","AUT","National","AUTt","Total",0.916,12.26
"Azerbaijan","Europe","AZE","National","AZEt","Total",0.745,10.54
"Bahamas","America","BHS","National","BHSt","Total",0.812,12.64
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.875,11.05
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.661,7.379
"Barbados","America","BRB","National","BRBt","Total",0.790,9.853
"Belarus","Europe","BLR","National","BLRt","Total",0.808,12.14
"Belgium","Europe","BEL","National","BELt","Total",0.937,12.38
"Belize","America","BLZ","National","BLZt","Total",0.683,8.848
"Benin","Africa","BEN","National","BENt","Total",0.525,4.305
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.666,5.170
"Bolivia","America","BOL","National","BOLt","Total",0.692,9.828
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.780,10.54
"Botswana","Africa","BWA","National","BWAt","Total",0.693,10.34
"Brazil","America","BRA","National","BRAt","Total",0.754,8.129
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.829,9.180
"Bulgaria","Europe","BGR","National","BGRt","Total",0.795,11.41
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.449,2.115
"Burundi","Africa","BDI","National","BDIt","Total",0.426,3.129
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.593,5.088
"Cameroon","Africa","CMR","National","CMRt","Total",0.576,6.151
"Canada","America","CAN","National","CANt","Total",0.936,13.83
"Cape Verde","Africa","CPV","National","CPVt","Total",0.662,6.288
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",0.404,4.334
"Chad","Africa","TCD","National","TCDt","Total",0.394,2.574
"Chili","America","CHL","National","CHLt","Total",0.855,10.94
"China","Asia/Pacific","CHN","National","CHNt","Total",0.768,7.600
"Colombia","America","COL","National","COLt","Total",0.752,8.863
"Comoros","Africa","COM","National","COMt","Total",0.558,5.079
"Congo Brazzaville","Africa","COG","National","COGt","Total",0.571,6.166
"Congo Democratic Republic","Africa","COD","National","CODt","Total",0.479,7.019
"Costa Rica","America","CRI","National","CRIt","Total",0.809,8.804
"Cote d'Ivoire","Africa","CIV","National","CIVt","Total",0.550,5.199
"Croatia","Europe","HRV","National","HRVt","Total",0.858,12.19
"Cuba","America","CUB","National","CUBt","Total",0.764,12.50
"Cyprus","Europe","CYP","National","CYPt","Total",0.896,12.44
"Czech Republic","Europe","CZE","National","CZEt","Total",0.889,12.87
"Denmark","Europe","DNK","National","DNKt","Total",0.948,12.96
"Djibouti","Africa","DJI","National","DJIt","Total",0.509,4.100
"Dominica","America","DMA","National","DMAt","Total",0.720,8.142
"Dominican Republic","America","DOM","National","DOMt","Total",0.767,9.307
"Ecuador","America","ECU","National","ECUt","Total",0.740,8.817
"Egypt","Africa","EGY","National","EGYt","Total",0.731,9.573
"El Salvador","America","SLV","National","SLVt","Total",0.675,7.151
"Equatorial Guinea","Africa","GNQ","National","GNQt","Total",0.596,5.911
"Eritrea","Africa","ERI","National","ERIt","Total",0.492,4.887
"Estonia","Europe","EST","National","ESTt","Total",0.890,13.55
"Eswatini","Africa","SWZ","National","SWZt","Total",0.597,5.596
"Ethiopia","Africa","ETH","National","ETHt","Total",0.498,3.202
"Fiji","Asia/Pacific","FJI","National","FJIt","Total",0.730,10.92
"Finland","Europe","FIN","National","FINt","Total",0.940,12.87
"France","Europe","FRA","National","FRAt","Total",0.903,11.61
"Gabon","Africa","GAB","National","GABt","Total",0.706,9.436
"Gambia","Africa","GMB","National","GMBt","Total",0.500,4.637
"Georgia","Europe","GEO","National","GEOt","Total",0.802,12.82
"Germany","Europe","DEU","National","DEUt","Total",0.942,14.09
"Ghana","Africa","GHA","National","GHAt","Total",0.632,8.330
"Greece","Europe","GRC","National","GRCt","Total",0.887,11.41
"Grenada","America","GRD","National","GRDt","Total",0.795,9.032
"Guatemala","America","GTM","National","GTMt","Total",0.627,5.681
"Guinea","Africa","GIN","National","GINt","Total",0.465,2.202
"Guinea Bissau","Africa","GNB","National","GNBt","Total",0.483,3.584
"Guyana","America","GUY","National","GUYt","Total",0.714,8.617
"Haiti","America","HTI","National","HTIt","Total",0.535,5.554
"Honduras","America","HND","National","HNDt","Total",0.621,7.088
"Hungary","Europe","HUN","National","HUNt","Total",0.846,12.25
"Iceland","Europe","ISL","National","ISLt","Total",0.959,13.77
"India","Asia/Pacific","IND","National","INDt","Total",0.633,6.655
"Indonesia","Asia/Pacific","IDN","National","IDNt","Total",0.705,8.557
"Iran","Asia/Pacific","IRN","National","IRNt","Total",0.774,10.64
"Iraq","Asia/Pacific","IRQ","National","IRQt","Total",0.686,7.906
"Ireland","Europe","IRL","National","IRLt","Total",0.945,11.58
"Israel","Asia/Pacific","ISR","National","ISRt","Total",0.919,13.35
"Italy","Europe","ITA","National","ITAt","Total",0.895,10.74
"Jamaica","America","JAM","National","JAMt","Total",0.709,9.155
"Japan","Asia/Pacific","JPN","National","JPNt","Total",0.925,13.37
"Jordan","Asia/Pacific","JOR","National","JORt","Total",0.720,10.45
"Kazakhstan","Asia/Pacific","KAZ","National","KAZt","Total",0.811,12.35
"Kenya","Africa","KEN","National","KENt","Total",0.575,6.652
"Kiribati","Asia/Pacific","KIR","National","KIRt","Total",0.624,7.984
